"expected_gain","measured_gain"
-11.50,-11.5
-11.00,-11.0
-10.50,-10.5
-10.00,-10.0
-9.50,-9.5
-9.00,-9.0
-8.50,-8.5
-8.00,-8.0
-7.50,-7.5
-7.00,-7.0
-6.50,-6.5
-6.00,-6.0
-5.50,-5.5
-5.00,-5.0
-4.50,-4.5
-4.00,-4.0
-3.50,-3.5
-3.00,-3.0
-2.50,-2.5
-2.00,-2.0
-1.50,-1.5
-1.00,-1.0
-0.50,-0.5
0.0,0.0
0.50,0.5
1.0,1.0
1.5,1.5
2.0,2.0
2.5,2.5
3.0,3.0
3.5,3.5
4.0,4.0
4.5,4.5
5.0,5.0
5.5,5.5
6.0,6.0
6.5,6.5
7.0,7.0
7.5,7.5
8.0,8.0
8.5,8.5
9.0,9.0
9.5,9.5
10.0,10.0
10.5,10.5
11.0,11.0
11.5,11.5
12.0,12.0
12.5,12.5
13.0,13.0
13.5,13.5
14.0,14.0
14.5,14.5
15.0,15.0
15.5,15.5
16.0,16.0
16.5,16.5
17.0,17.0
17.5,17.5
18.0,18.0
18.5,18.5
19.0,19.0
19.5,19.5
20.0,20.0